,Unnamed: 0,timestamp_posix,temporaryId,latitude,longitude,speed,heading,length,width,position_on_map,x,y,speed_x,speed_y,accel_x,accel_y,ang_speed,radius,steering_angle,steering_angle_rate,sub_group
1837,1837,1623249762.529932,1768009833,33.8601908,-112.1119192,0.0,204.0,4.97,184,inbound,397146.2844078293,3747210.495822937,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1838,1838,1623249762.62885,1768009833,33.8601908,-112.1119192,0.0,204.0,4.97,184,inbound,397146.2844078293,3747210.495822937,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1839,1839,1623249762.730556,1768009833,33.8601908,-112.1119192,0.0,204.0,4.97,184,inbound,397146.2844078293,3747210.495822937,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1840,1840,1623249762.923914,1768009833,33.8601908,-112.1119192,0.0,204.0,4.97,184,inbound,397146.2844078293,3747210.495822937,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1841,1841,1623249763.023198,1768009833,33.8601908,-112.1119192,0.0,204.0,4.97,184,inbound,397146.2844078293,3747210.495822937,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1842,1842,1623249763.123734,1768009833,33.8601909,-112.1119192,0.0,204.0,4.97,184,inbound,397146.28452774027,3747210.506911284,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1843,1843,1623249763.226446,1768009833,33.8601909,-112.1119192,0.0,204.0,4.97,184,inbound,397146.28452774027,3747210.506911284,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1844,1844,1623249763.323832,1768009833,33.8601908,-112.1119192,0.0,204.0,4.97,184,inbound,397146.2844078293,3747210.495822937,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1845,1845,1623249763.424393,1768009833,33.8601908,-112.1119192,0.0,204.0,4.97,184,inbound,397146.2844078293,3747210.495822937,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1846,1846,1623249763.523596,1768009833,33.860191,-112.1119192,0.0,204.0,4.97,184,inbound,397146.2846476512,3747210.5179996327,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1847,1847,1623249763.621942,1768009833,33.860191,-112.1119192,0.0,204.0,4.97,184,inbound,397146.2846476512,3747210.5179996327,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1848,1848,1623249763.723507,1768009833,33.8601909,-112.1119192,0.0,204.0,4.97,184,inbound,397146.28452774027,3747210.506911284,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1849,1849,1623249763.829292,1768009833,33.8601909,-112.1119193,0.0,204.0,4.97,184,inbound,397146.2752771896,3747210.507011321,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1850,1850,1623249763.92662,1768009833,33.8601911,-112.1119191,0.0,204.0,4.97,184,inbound,397146.2940181128,3747210.528987944,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1851,1851,1623249764.0266,1768009833,33.8601911,-112.1119191,0.0,204.0,4.97,184,inbound,397146.2940181128,3747210.528987944,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1852,1852,1623249764.124936,1768009833,33.8601911,-112.1119191,0.0,204.0,4.97,184,inbound,397146.2940181128,3747210.528987944,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1853,1853,1623249764.223711,1768009833,33.8601911,-112.1119191,0.0,204.0,4.97,184,inbound,397146.2940181128,3747210.528987944,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1854,1854,1623249764.320532,1768009833,33.8601911,-112.1119191,0.0,204.0,4.97,184,inbound,397146.2940181128,3747210.528987944,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1855,1855,1623249764.421128,1768009833,33.8601911,-112.1119191,0.0,204.0,4.97,184,inbound,397146.2940181128,3747210.528987944,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1856,1856,1623249764.516807,1768009833,33.8601912,-112.1119191,0.0,204.0,4.97,184,inbound,397146.2941380238,3747210.540076292,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1857,1857,1623249764.616153,1768009833,33.8601912,-112.1119191,0.0,204.0,4.97,184,inbound,397146.2941380238,3747210.540076292,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1858,1858,1623249764.716258,1768009833,33.8601912,-112.1119191,0.0,204.0,4.97,184,inbound,397146.2941380238,3747210.540076292,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1859,1859,1623249764.813143,1768009833,33.8601911,-112.1119191,0.0,204.0,4.97,184,inbound,397146.2940181128,3747210.528987944,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1860,1860,1623249764.915526,1768009833,33.8601911,-112.1119191,0.0,204.0,4.97,184,inbound,397146.2940181128,3747210.528987944,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1861,1861,1623249765.017661,1768009833,33.8601911,-112.1119191,0.0,204.0,4.97,184,inbound,397146.2940181128,3747210.528987944,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1862,1862,1623249765.118891,1768009833,33.8601913,-112.1119191,0.0,204.0,4.97,184,inbound,397146.2942579347,3747210.551164638,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1863,1863,1623249765.217792,1768009833,33.8601912,-112.1119191,0.0,204.0,4.97,184,inbound,397146.2941380238,3747210.540076292,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1864,1864,1623249765.313165,1768009833,33.8601912,-112.1119191,0.0,204.0,4.97,184,inbound,397146.2941380238,3747210.540076292,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1865,1865,1623249765.415842,1768009833,33.8601912,-112.1119191,0.0,204.0,4.97,184,inbound,397146.2941380238,3747210.540076292,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1866,1866,1623249765.511611,1768009833,33.8601911,-112.1119191,0.0,204.0,4.97,184,inbound,397146.2940181128,3747210.528987944,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1867,1867,1623249765.60853,1768009833,33.8601911,-112.1119191,0.0,204.0,4.97,184,inbound,397146.2940181128,3747210.528987944,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1868,1868,1623249765.714974,1768009833,33.8601912,-112.1119191,0.0,204.0,4.97,184,inbound,397146.2941380238,3747210.540076292,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1869,1869,1623249765.817664,1768009833,33.8601912,-112.1119191,0.0,204.0,4.97,184,inbound,397146.2941380238,3747210.540076292,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1870,1870,1623249765.91502,1768009833,33.8601911,-112.1119191,0.0,204.0,4.97,184,inbound,397146.2940181128,3747210.528987944,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1871,1871,1623249766.020107,1768009833,33.8601911,-112.1119192,0.0,204.0,4.97,184,inbound,397146.2847675622,3747210.5290879807,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1872,1872,1623249766.12213,1768009833,33.8601912,-112.1119191,0.0,204.0,4.97,184,inbound,397146.2941380238,3747210.540076292,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1873,1873,1623249766.227401,1768009833,33.8601912,-112.1119191,0.0,204.0,4.97,184,inbound,397146.2941380238,3747210.540076292,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1874,1874,1623249766.332134,1768009833,33.8601912,-112.1119191,0.0,204.0,4.97,184,inbound,397146.2941380238,3747210.540076292,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1875,1875,1623249766.428355,1768009833,33.8601912,-112.1119191,0.0,204.0,4.97,184,inbound,397146.2941380238,3747210.540076292,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1876,1876,1623249766.529169,1768009833,33.8601911,-112.1119191,0.0,204.0,4.97,184,inbound,397146.2940181128,3747210.528987944,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1877,1877,1623249766.625625,1768009833,33.8601911,-112.1119191,0.0,204.0,4.97,184,inbound,397146.2940181128,3747210.528987944,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1878,1878,1623249766.724708,1768009833,33.8601911,-112.1119191,0.0,204.0,4.97,184,inbound,397146.2940181128,3747210.528987944,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1879,1879,1623249766.821869,1768009833,33.8601911,-112.1119192,0.0,204.0,4.97,184,inbound,397146.2847675622,3747210.5290879807,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1880,1880,1623249766.924982,1768009833,33.8601912,-112.1119191,0.0,204.0,4.97,184,inbound,397146.2941380238,3747210.540076292,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
