,id,lat,long,angle,speed,heading,timestamp,width,length
85,8777778,27.9561759,-82.4456149,190.5,8.76,180.2375,1616113041.35,210,460
86,8777778,27.9561653,-82.4456154,190.5,8.46,180.175,1616113041.499,210,460
87,8777778,27.9561615,-82.4456154,190.5,8.4,180.175,1616113041.549,210,460
88,8777778,27.956154,-82.4456155,190.5,8.28,180.13750000000002,1616113041.65,210,460
89,8777778,27.9561429,-82.4456156,190.5,8.040000000000001,180.0875,1616113041.8,210,460
90,8777778,27.9561358,-82.4456156,190.5,7.88,180.0625,1616113041.9,210,460
91,8777778,27.9561299,-82.4456162,190.5,7.54,180.10000000000002,1616113042.0,210,460
92,8777778,27.9560723,-82.4456182,190.5,5.36,180.5625,1616113042.0,210,460
93,8777778,27.9561266,-82.4456163,190.5,7.46,180.0875,1616113042.049,210,460
94,8777778,27.9561167,-82.4456164,190.5,7.16,180.0875,1616113042.2,210,460
95,8777778,27.9561104,-82.4456165,190.5,6.96,180.10000000000002,1616113042.3,210,460
96,8777778,27.9561042,-82.4456166,190.5,6.76,180.1125,1616113042.4,210,460
97,8777778,27.9560987,-82.4456174,190.5,6.5,180.3,1616113042.499,210,460
98,8777778,27.956093,-82.4456175,190.5,6.28,180.3625,1616113042.6,210,460
99,8777778,27.9560875,-82.4456177,190.5,6.0600000000000005,180.41250000000002,1616113042.7,210,460
100,8777778,27.9560821,-82.4456178,190.5,5.84,180.47500000000002,1616113042.8,210,460
101,8777778,27.9560795,-82.4456179,190.5,5.74,180.5,1616113042.85,210,460
102,8777778,27.95607,-82.4456183,190.5,5.22,180.525,1616113043.049,210,460
103,8777778,27.9560632,-82.4456184,190.5,4.82,180.375,1616113043.2,210,460
104,8777778,27.956059,-82.4456185,190.5,4.6000000000000005,180.3375,1616113043.3,210,460
105,8777778,27.956055,-82.4456186,190.5,4.38,180.3375,1616113043.4,210,460
106,8777778,27.956051,-82.4456185,190.5,4.14,180.1875,1616113043.499,210,460
107,8777778,27.9560492,-82.4456185,190.5,4.04,180.175,1616113043.549,210,460
108,8777778,27.9560441,-82.4456186,190.5,3.68,180.15,1616113043.7,210,460
109,8777778,27.9560409,-82.4456186,190.5,3.44,180.13750000000002,1616113043.8,210,460
110,8777778,27.9560394,-82.4456186,190.5,3.3200000000000003,180.13750000000002,1616113043.85,210,460
111,8777778,27.9560347,-82.4456191,190.5,2.98,180.16250000000002,1616113044.0,210,460
112,8777778,27.9560334,-82.4456191,190.5,2.86,180.16250000000002,1616113044.049,210,460
113,8777778,27.9560298,-82.4456192,190.5,2.52,180.16250000000002,1616113044.2,210,460
114,8777778,27.9560277,-82.4456192,190.5,2.3000000000000003,180.15,1616113044.3,210,460
115,8777778,27.9560258,-82.4456192,190.5,2.06,180.15,1616113044.4,210,460
116,8777778,27.9560233,-82.4456195,190.5,1.92,180.1875,1616113044.499,210,460
117,8777778,27.9560217,-82.4456196,190.5,1.7,180.20000000000002,1616113044.6,210,460
118,8777778,27.9560203,-82.4456196,190.5,1.48,180.20000000000002,1616113044.7,210,460
119,8777778,27.9560191,-82.4456196,190.5,1.28,180.2125,1616113044.8,210,460
120,8777778,27.9560181,-82.4456196,190.5,1.08,180.22500000000002,1616113044.9,210,460
121,8777778,27.956017,-82.4456201,190.5,0.92,180.22500000000002,1616113045.0,210,460
122,8777778,27.9560163,-82.4456201,190.5,0.76,180.22500000000002,1616113045.1,210,460
123,8777778,27.9560157,-82.4456201,190.5,0.62,180.22500000000002,1616113045.2,210,460
124,8777778,27.9560152,-82.4456202,190.5,0.5,180.22500000000002,1616113045.3,210,460
125,8777778,27.9560148,-82.4456202,190.5,0.44,180.22500000000002,1616113045.4,210,460
126,8777778,27.9560121,-82.4456206,190.5,0.72,180.22500000000002,1616113045.499,210,460
127,8777778,27.9560114,-82.4456207,190.5,0.68,180.22500000000002,1616113045.6,210,460
128,8777778,27.9560108,-82.4456208,190.5,0.66,180.22500000000002,1616113045.7,210,460
129,8777778,27.9560102,-82.4456208,190.5,0.64,180.22500000000002,1616113045.8,210,460
130,8777778,27.9560097,-82.4456209,190.5,0.6,180.22500000000002,1616113045.9,210,460
131,8777778,27.9560109,-82.4456206,190.5,0.36,180.22500000000002,1616113046.0,210,460
132,8777778,27.9560106,-82.4456206,190.5,0.32,180.22500000000002,1616113046.1,210,460
133,8777778,27.9560103,-82.4456206,190.5,0.3,180.22500000000002,1616113046.2,210,460
134,8777778,27.9560101,-82.4456206,190.5,0.26,180.22500000000002,1616113046.3,210,460
135,8777778,27.9560098,-82.4456206,190.5,0.24,180.22500000000002,1616113046.4,210,460
136,8777778,27.9560096,-82.4456206,190.5,0.2,180.22500000000002,1616113046.5,210,460
137,8777778,27.9560097,-82.4456204,190.5,0.14,180.22500000000002,1616113046.599,210,460
138,8777778,27.9560096,-82.4456204,190.5,0.12,180.22500000000002,1616113046.7,210,460
139,8777778,27.9560095,-82.4456204,190.5,0.1,180.22500000000002,1616113046.8,210,460
140,8777778,27.9560094,-82.4456203,190.5,0.06,180.22500000000002,1616113046.9,210,460
141,8777778,27.9560089,-82.4456203,190.5,0.08,180.22500000000002,1616113047.0,210,460
142,8777778,27.9560089,-82.4456203,190.5,0.06,180.22500000000002,1616113047.1,210,460
143,8664210,27.9560088,-82.4456202,190.5,0.04,180.22500000000002,1616113047.2,210,460
144,8777778,27.9560088,-82.4456202,190.5,0.04,180.22500000000002,1616113047.2,210,460
145,8664210,27.9560089,-82.4456202,190.5,0.04,180.22500000000002,1616113047.3,210,460
146,8777778,27.9560089,-82.4456202,190.5,0.04,180.22500000000002,1616113047.3,210,460
147,8664210,27.9560089,-82.4456202,190.5,0.06,180.22500000000002,1616113047.4,210,460
148,8777778,27.9560089,-82.4456202,190.5,0.06,180.22500000000002,1616113047.4,210,460
149,8664210,27.9560087,-82.4456202,190.5,0.06,180.22500000000002,1616113047.499,210,460
150,8777778,27.9560087,-82.4456202,190.5,0.06,180.22500000000002,1616113047.499,210,460
151,8777778,27.9560087,-82.4456202,190.5,0.08,180.22500000000002,1616113047.6,210,460
